,SNX,YFI,AMPL,BNT,TRB,UBT,UNI,ENJ,SENT,BAT,YOP,MFT,RFR,SUSHI
2021-04-14,,8581.8693344456,49938095.85518749,19705932.15984885,147702.8852643013,80849222.5013704,34494491.69694085,212881931.54248103,188609032.59707865,91106484.2769198,2589644.4853621298,1314115850.9344704,,
2021-04-15,,,,20645091.0919802,149768.6954784198,,,212294002.700096,,,,,,
2021-04-16,,8357.5266656056,46192586.81111109,21418058.92680347,141173.1238671515,80181507.64879532,33961441.75356201,217166975.27125216,177415307.18745977,91212705.60101657,2822854.804076222,1302882447.04211,,
2021-04-18,,8195.3797576137,47229073.173637,22398067.09487596,138832.8007132009,80892986.97990069,34040132.600196004,216055511.5454245,174186764.41812468,91233600.80059324,2563232.7263085702,1304090757.3264773,,
2021-04-19,,7975.3039962802,47851398.60738723,20621824.10572181,139170.2914406616,80800167.49797273,34194775.80584449,216506007.64691305,172074420.14286602,90537801.1615648,2523913.8582793307,1277982648.749119,,
2021-04-20,42011165.98409686,8201.8500382991,48555743.10691045,20526456.76408613,129556.2059414931,80587892.14860052,33373826.206322048,216217240.7301509,171111864.46509206,90448797.00718573,2547420.1760873105,1326180838.6797435,297112443.8225,19612858.62554882
2021-04-21,42115852.38059136,7955.8941221705,51447982.177120365,20408694.659560904,128470.1829712362,80396839.03021742,33160969.775895976,216551650.4621057,169356592.26116627,90741747.21709548,2522420.173602301,1269795736.8318803,298266344.12020123,24056473.818597183
2021-04-22,41905591.137503415,7747.9559119688,52127809.52760063,19998300.41546517,127813.5218674862,80236970.60320333,33734731.23150476,213740225.15010136,167745884.87727082,91007753.24305212,2460735.0644478705,1255242516.246336,297511262.26660126,25375661.39128986
2021-04-23,41047260.53981197,7674.8838618957,55003959.481779486,18948411.401999485,127120.6250271616,,33337721.869104747,215342967.35151768,166935835.7262046,90243899.96183054,2434048.488932911,,297367007.2902012,
2021-04-24,41143139.76401624,7654.4567483883,54529227.03886195,19548335.29148589,125810.9298657474,79725473.011112,33290718.37355309,215409554.87154204,166935835.7262046,89813401.37106317,2426613.018487741,1272552628.3683646,294793364.3485014,26162333.31133873
2021-04-25,41135008.49625622,7666.9583231848,54272532.69162837,19168851.793897804,124923.1847505204,79367203.37539724,33040292.32656672,215972456.7775066,165078348.62097,90819113.480265,2409812.26173197,1262756493.3973682,294278638.5996015,26122234.94582865
2021-04-26,41010573.5398142,7732.9382726445,56071731.42598178,18767784.45314174,127250.200369135,79257756.30300944,32592324.34070744,216982434.1992496,163679676.64308792,88615031.3634966,2432183.17492259,1260839886.297006,290348924.33930147,25619353.199174058
2021-04-27,41090126.20179606,7800.9934550148,56130042.407219484,18660321.244512524,119570.4411885479,79157519.08034518,32621363.405431733,216824656.1056627,161402826.550733,89506288.06344107,2420351.4700559806,1249059189.2377765,289139758.51320136,18873775.966723308
2021-04-28,41073779.64058037,7696.4612227758,56374887.7810953,18669797.609510195,120982.6130061294,78907643.91266148,32483692.07801815,217988693.29328096,158333531.0355022,88267293.66546196,2397574.3057141504,1243371660.6351173,288143449.7416013,18569389.11125572
2021-04-30,40794480.927074,7418.3971319478,,20491344.276936647,118349.2202960385,,,214542673.97252893,,,2344912.29743244,,286708208.7191015,
2021-05-01,40592113.94124492,7378.5297680531,57384749.68375036,19692136.945627872,118032.2484872557,77622272.27445287,32042265.074907187,213406546.31134635,147440790.86081037,87119279.90916508,2413802.86171157,1254693702.6920898,286322217.38210136,18123713.681537744
2021-05-04,40037256.88549847,7244.1165929707,59137332.076349065,19659930.919324387,112473.2921249489,77118088.12601416,31575138.552979525,213220262.68643484,143344208.28318053,87427571.17083666,2370245.8536405405,1232602327.487646,284574273.97450113,17655126.10515093
2021-05-05,39610662.59448071,7248.6961141591,60303283.10343191,18488602.72985718,112208.6284030606,77045353.0467845,31291505.767128497,214481277.8568298,141795038.87371936,85341495.82794878,2380914.2548229,1228717882.176138,284877963.9664012,17408474.169317774
2021-05-09,39327356.173867494,7410.1694249943,67210589.51502715,18793827.082414422,121020.2234959825,76759237.87517884,31655192.39766248,215784624.66313592,135325556.27516434,85889872.93017396,2354009.3815449993,1234784655.0877643,284084928.2240012,17224392.518437807
